Date,Open,High,Low,Adj. Close,Volume
"Mar 01, 2011",15.47,15.47,15.40,15.40,350
"Mar 02, 2011",15.39,15.48,15.36,15.48,"1,103"
"Mar 03, 2011",15.56,15.56,15.48,15.48,"11,140"
"Mar 04, 2011",15.61,15.61,15.49,15.49,"1,700"
"Mar 07, 2011",14.90,14.90,14.90,14.90,0
"Mar 08, 2011",15.02,15.02,14.94,14.94,"1,200"
"Mar 09, 2011",14.93,14.93,14.52,14.52,"3,600"
"Mar 10, 2011",14.40,14.40,14.40,14.40,332
"Mar 11, 2011",14.39,14.49,14.39,14.49,793
"Mar 14, 2011",14.49,14.49,14.49,14.49,0
"Mar 15, 2011",14.16,14.20,14.16,14.20,"1,315"
"Mar 16, 2011",14.48,14.48,14.48,14.48,300
"Mar 17, 2011",14.81,14.81,14.81,14.81,900
"Mar 18, 2011",14.93,14.98,14.93,14.98,650
"Mar 21, 2011",14.89,14.90,14.84,14.90,"2,340"
"Mar 22, 2011",14.79,14.79,14.79,14.79,0
"Mar 23, 2011",15.12,15.24,15.12,15.19,"4,328"
"Mar 24, 2011",15.05,15.05,15.05,15.05,0
"Mar 25, 2011",15.24,15.24,15.10,15.10,700
"Mar 28, 2011",14.91,14.94,14.91,14.94,"1,000"
"Mar 29, 2011",14.93,14.93,14.93,14.93,0
"Mar 30, 2011",14.86,14.93,14.86,14.93,"1,050"
"Mar 31, 2011",14.83,14.83,14.83,14.83,0
"Apr 01, 2011",14.77,14.77,14.77,14.77,35
"Apr 04, 2011",15.05,15.05,15.05,15.05,300
"Apr 05, 2011",14.86,15.02,14.86,15.02,940
"Apr 06, 2011",15.20,15.35,15.20,15.35,"2,300"
"Apr 07, 2011",15.39,15.39,15.26,15.26,475
"Apr 08, 2011",15.60,15.60,15.60,15.60,"2,000"
"Apr 11, 2011",15.60,15.66,15.59,15.59,845
"Apr 12, 2011",15.24,15.30,15.24,15.30,850
"Apr 13, 2011",15.09,15.12,15.09,15.12,"3,000"
"Apr 14, 2011",14.93,14.93,14.93,14.93,200
"Apr 15, 2011",14.91,14.91,14.91,14.91,0
"Apr 18, 2011",14.85,14.85,14.67,14.67,400
"Apr 19, 2011",14.62,14.62,14.62,14.62,0
"Apr 20, 2011",14.98,14.98,14.98,14.98,300
"Apr 21, 2011",15.09,15.09,15.09,15.09,150
"Apr 25, 2011",15.17,15.17,15.17,15.17,"4,883"
"Apr 26, 2011",14.87,14.87,14.85,14.85,"1,063"
"Apr 27, 2011",14.72,14.75,14.72,14.75,"1,100"
"Apr 28, 2011",14.74,14.75,14.74,14.75,740
"Apr 29, 2011",14.83,14.83,14.83,14.83,245
"May 02, 2011",14.70,14.70,14.70,14.70,"1,000"
"May 03, 2011",14.74,14.74,14.74,14.74,66
"May 04, 2011",14.44,14.44,14.44,14.44,300
"May 05, 2011",13.96,13.96,13.66,13.66,"3,185"
"May 06, 2011",13.89,13.89,13.78,13.78,"1,250"
"May 09, 2011",13.89,13.89,13.89,13.89,100
"May 10, 2011",13.86,13.86,13.86,13.86,50
"May 11, 2011",13.62,13.84,13.62,13.84,"3,650"
"May 12, 2011",13.66,13.66,13.66,13.66,0
"May 13, 2011",13.64,13.64,13.64,13.64,0
"May 16, 2011",13.59,13.59,13.59,13.59,50
"May 17, 2011",13.66,13.66,13.66,13.66,250
"May 18, 2011",14.04,14.04,14.04,14.04,100
"May 19, 2011",13.99,13.99,13.99,13.99,"1,500"
"May 20, 2011",13.75,13.75,13.75,13.75,0
"May 24, 2011",13.02,13.02,13.02,13.02,0
"May 25, 2011",13.26,13.26,13.26,13.26,0
"May 26, 2011",13.91,14.02,13.91,14.02,"1,176"
"May 27, 2011",14.04,14.04,14.04,14.04,0
"May 30, 2011",14.08,14.08,14.08,14.08,0
"May 31, 2011",14.16,14.16,14.16,14.16,0
"Jun 01, 2011",14.01,14.01,14.01,14.01,0
"Jun 02, 2011",13.86,13.86,13.86,13.86,100
"Jun 03, 2011",13.86,13.86,13.86,13.86,0
"Jun 06, 2011",14.02,14.02,14.02,14.02,350
"Jun 07, 2011",14.02,14.02,14.02,14.02,0
"Jun 08, 2011",14.01,14.01,14.01,14.01,0
"Jun 09, 2011",14.05,14.05,14.05,14.05,176
"Jun 10, 2011",13.86,13.86,13.86,13.86,0
"Jun 13, 2011",13.75,13.75,13.75,13.75,0
"Jun 14, 2011",14.01,14.01,14.01,14.01,285
"Jun 15, 2011",13.23,13.23,13.23,13.23,0
"Jun 16, 2011",13.64,13.64,13.64,13.64,0
"Jun 17, 2011",13.12,13.12,13.12,13.12,0
"Jun 20, 2011",13.50,13.50,13.50,13.50,500
"Jun 21, 2011",13.74,13.80,13.74,13.80,533
"Jun 22, 2011",13.80,13.80,13.80,13.80,635
"Jun 23, 2011",13.69,13.69,13.69,13.69,0
"Jun 24, 2011",13.75,13.75,13.75,13.75,100
"Jun 27, 2011",13.14,13.14,13.14,13.14,0
"Jun 28, 2011",13.91,13.91,13.84,13.84,"1,096"
"Jun 29, 2011",14.07,14.26,14.07,14.25,"1,060"
"Jun 30, 2011",14.30,14.30,14.30,14.30,0
"Jul 04, 2011",14.05,14.05,14.05,14.05,0
"Jul 05, 2011",14.47,14.47,14.47,14.47,0
"Jul 06, 2011",14.51,14.51,14.48,14.48,400
"Jul 07, 2011",14.78,14.78,14.78,14.78,642
"Jul 08, 2011",14.49,14.59,14.41,14.57,"2,620"
"Jul 11, 2011",14.38,14.38,14.38,14.38,362
"Jul 12, 2011",14.43,14.43,14.43,14.43,100
"Jul 13, 2011",14.52,14.52,14.52,14.52,200
"Jul 14, 2011",14.50,14.53,14.47,14.52,926
"Jul 15, 2011",14.51,14.51,14.51,14.51,0
"Jul 18, 2011",14.59,14.59,14.59,14.59,"1,000"
"Jul 19, 2011",14.82,14.82,14.82,14.82,0
"Jul 20, 2011",14.76,14.76,14.76,14.76,309
"Jul 21, 2011",14.69,14.69,14.69,14.69,125
"Jul 22, 2011",14.70,14.70,14.70,14.70,150
"Jul 25, 2011",14.67,14.67,14.67,14.67,0
"Jul 26, 2011",14.90,14.90,14.90,14.90,91
"Jul 27, 2011",14.93,14.97,14.93,14.97,"2,374"
"Jul 28, 2011",14.85,14.85,14.85,14.85,84
"Jul 29, 2011",14.83,14.83,14.83,14.83,0
"Aug 02, 2011",14.69,14.69,14.69,14.69,200
"Aug 03, 2011",14.27,14.27,14.27,14.27,0
"Aug 04, 2011",14.08,14.15,14.07,14.15,"3,455"
"Aug 05, 2011",13.89,13.89,13.52,13.52,"1,649"
"Aug 08, 2011",13.46,13.46,12.92,12.92,"3,230"
"Aug 09, 2011",13.05,13.17,13.05,13.11,"2,816"
"Aug 10, 2011",13.01,13.01,13.01,13.01,100
"Aug 11, 2011",13.26,13.35,13.26,13.35,300
"Aug 12, 2011",13.27,13.27,13.27,13.27,514
"Aug 15, 2011",13.26,13.26,13.26,13.26,100
"Aug 16, 2011",13.18,13.18,13.18,13.18,57
"Aug 17, 2011",13.37,13.37,13.37,13.37,"1,100"
"Aug 18, 2011",13.00,13.00,13.00,13.00,0
"Aug 19, 2011",13.17,13.17,13.17,13.17,100
"Aug 22, 2011",12.49,12.49,12.49,12.49,0
"Aug 23, 2011",13.02,13.02,13.02,13.02,95
"Aug 24, 2011",13.05,13.05,13.05,13.05,66
"Aug 25, 2011",13.23,13.23,13.23,13.23,0
