Date,Open,High,Low,Adj. Close,Volume
"Sep 09, 2015",16.36,16.36,16.36,16.36,125
"Sep 10, 2015",16.04,16.04,16.01,16.01,500
"Sep 11, 2015",15.94,15.94,15.91,15.91,900
"Sep 14, 2015",15.84,15.84,15.84,15.84,550
"Sep 15, 2015",15.96,15.96,15.96,15.96,0
"Sep 16, 2015",16.10,16.10,16.10,16.10,269
"Sep 17, 2015",16.08,16.16,16.08,16.09,"1,700"
"Sep 18, 2015",15.85,15.85,15.69,15.76,"3,800"
"Sep 21, 2015",15.78,15.80,15.73,15.73,"2,900"
"Sep 22, 2015",15.41,15.42,15.36,15.36,"2,850"
"Sep 23, 2015",15.49,15.49,15.46,15.46,"1,600"
"Sep 24, 2015",15.14,15.24,15.02,15.18,"6,700"
"Sep 25, 2015",15.36,15.42,15.28,15.29,"3,220"
"Sep 28, 2015",15.20,15.20,15.20,15.20,115
"Sep 29, 2015",15.25,15.29,15.25,15.25,"1,010"
"Sep 30, 2015",15.48,15.49,15.48,15.49,"1,700"
"Oct 01, 2015",15.47,15.47,15.46,15.46,765
"Oct 02, 2015",15.40,15.70,15.40,15.70,"1,470"
"Oct 05, 2015",16.09,16.19,16.03,16.19,"5,260"
"Oct 06, 2015",16.19,16.19,16.19,16.19,57
"Oct 07, 2015",16.48,16.48,16.32,16.37,"3,780"
"Oct 08, 2015",16.36,16.54,16.36,16.54,"4,781"
"Oct 09, 2015",16.51,16.51,16.47,16.47,"2,920"
"Oct 13, 2015",16.27,16.41,16.27,16.29,"4,400"
"Oct 14, 2015",16.34,16.34,16.27,16.27,"2,730"
"Oct 15, 2015",16.36,16.44,16.36,16.44,"18,915"
"Oct 16, 2015",16.47,16.47,16.38,16.47,"5,546"
"Oct 19, 2015",16.37,16.42,16.37,16.42,"17,911"
"Oct 20, 2015",16.28,16.35,16.28,16.34,"37,255"
"Oct 21, 2015",16.44,16.66,16.39,16.40,"3,900"
"Oct 22, 2015",16.58,16.74,16.58,16.73,"18,617"
"Oct 23, 2015",16.85,16.90,16.80,16.90,"12,985"
"Oct 26, 2015",16.84,16.84,16.70,16.74,"32,567"
"Oct 27, 2015",16.62,16.66,16.53,16.59,"22,248"
"Oct 28, 2015",16.62,16.82,16.62,16.81,"17,263"
"Oct 29, 2015",16.62,16.66,16.56,16.63,"20,121"
"Oct 30, 2015",16.63,16.70,16.62,16.63,"22,600"
"Nov 02, 2015",16.71,16.84,16.71,16.82,"33,252"
"Nov 03, 2015",16.78,16.90,16.78,16.89,"20,213"
"Nov 04, 2015",16.96,16.97,16.87,16.89,"21,917"
"Nov 05, 2015",16.93,16.94,16.84,16.87,"15,748"
"Nov 06, 2015",16.98,17.00,16.91,16.96,"17,863"
"Nov 09, 2015",16.91,16.91,16.74,16.82,"16,379"
"Nov 10, 2015",16.74,16.77,16.72,16.76,"8,600"
"Nov 11, 2015",16.78,16.78,16.66,16.67,"15,306"
"Nov 12, 2015",16.58,16.61,16.50,16.50,"15,117"
"Nov 13, 2015",16.48,16.54,16.43,16.43,"13,778"
"Nov 16, 2015",16.44,16.70,16.44,16.70,"12,707"
"Nov 17, 2015",16.81,16.83,16.71,16.74,"8,810"
