Date,High,Low,Open,Close,Volume,Adj Close
2000-01-04,30.0,27.5,30.0,27.5,537.0,22.955154418945312
2000-01-05,30.0,27.5,27.5,30.0,1456.0,25.04197883605957
2000-01-06,30.0,27.5,30.0,27.5,1891.0,22.955154418945312
2000-01-07,30.0,25.0,30.0,30.0,3429.0,25.04197883605957
2000-01-10,30.0,25.0,30.0,25.0,998.0,20.86832046508789
2000-01-11,30.0,25.0,27.5,27.5,947.0,22.955154418945312
2000-01-12,30.0,25.0,30.0,27.5,5809.0,22.955154418945312
2000-01-13,27.5,25.0,27.5,27.5,1714.0,22.955154418945312
2000-01-14,27.5,25.0,27.5,25.0,644.0,20.86832046508789
2000-01-17,27.5,25.0,25.0,25.0,892.0,20.86832046508789
2000-01-18,27.5,25.0,25.0,27.5,22206.0,22.955154418945312
2000-01-19,30.0,25.0,27.5,25.0,3804.0,20.86832046508789
2000-01-20,27.5,25.0,25.0,27.5,1904.0,22.955154418945312
2000-01-21,27.5,25.0,27.5,25.0,1570.0,20.86832046508789
2000-01-24,27.5,25.0,25.0,25.0,656.0,20.86832046508789
2000-01-25,25.0,25.0,25.0,25.0,305.0,20.86832046508789
2000-01-26,27.5,25.0,27.5,25.0,1757.0,20.86832046508789
2000-01-27,25.0,25.0,25.0,25.0,3041.0,20.86832046508789
2000-01-28,27.5,25.0,25.0,27.5,2776.0,22.955154418945312
2000-01-31,27.5,25.0,25.0,27.5,1400.0,22.955154418945312
2000-02-01,27.5,25.0,25.0,27.5,1393.0,22.955154418945312
2000-02-02,27.5,25.0,25.0,27.5,958.0,22.955154418945312
2000-02-03,27.5,25.0,25.0,25.0,5482.0,20.86832046508789
2000-02-04,27.5,25.0,25.0,27.5,2933.0,22.955154418945312
2000-02-07,27.5,25.0,25.0,25.0,2763.0,20.86832046508789
2000-02-08,27.5,25.0,27.5,25.0,1778.0,20.86832046508789
2000-02-09,25.0,25.0,25.0,25.0,1114.0,20.86832046508789
2000-02-10,25.0,25.0,25.0,25.0,2151.0,20.86832046508789
2000-02-11,25.0,25.0,25.0,25.0,6131.0,20.86832046508789
2000-02-14,27.5,25.0,25.0,25.0,9547.0,20.86832046508789
2000-02-15,27.5,25.0,25.0,25.0,3613.0,20.86832046508789
2000-02-16,42.5,25.0,27.5,42.5,30798.0,35.47615051269531
2000-02-17,50.0,35.0,42.5,40.0,15396.0,33.38931655883789
2000-02-18,40.0,35.0,40.0,35.0,4910.0,29.21564483642578
2000-02-21,42.5,35.0,35.0,40.0,6042.0,33.38931655883789
2000-02-22,42.5,37.5,40.0,37.5,6300.0,31.302480697631836
