ticker,normal_gain,gain_period,ema_gain,beta_coef
index_GSPTSE,1.8982213863679098,171,-13.901402670563149,1.0
ACB.TO,-10.039370078740154,57,-29.035250463821882,1.3878452605894165
BBD.B.TO,-31.449631449631454,288,-83.25949028866803,1.5484203545439135
XIU.TO,5.651214128035326,209,-2.829391891891884,1.023603331952223
MFC.TO,-6.847599164926933,0,0.0,1.3109050283091372
APHA.TO,3.018575851393193,341,-144.3085988603014,0.4337461172934778
CNQ.TO,-7.334840492338612,297,-41.6442515371328,1.865534144500052
HEXO.TO,43.78478664192951,0,0.0,1.1252091174901004
SU.TO,5.0514499532273245,283,-11.030629139072843,1.7397303479317412
TD.TO,6.067353186752017,291,-8.503005484614217,0.8156400641723047
ECA.TO,-35.16797712651894,271,-41.802067946824224,2.401419111266262
RY.TO,3.289340101522838,299,-15.562759218435751,0.8880347948323578
BTO.TO,9.547738693467345,0,0,0.19776938253254653
K.TO,4.148471615720513,212,-23.644251626898054,0.2351129655358365
ABX.TO,12.32786885245901,254,-10.409398256714498,0.3626448568004825
TECK.B.TO,-16.327077747989268,0,0,2.157305912734889
YRI.TO,-3.013698630136983,220,-34.44000425447859,0.04203685741047771
TGOD.TO,-5.141388174807203,272,-141.53617663224617,-1.0970977810920148
G.TO,-9.260410192666253,222,-16.33633633633633,0.36007496165629904
BNS.TO,0.06637461834594074,0,0.0,0.7948025249567612
LUN.TO,-16.88159437280187,0,0,2.1295936230872488
CNR.TO,14.663412649989832,124,-9.494991652754585,1.2770290107367879
BB.TO,-28.750784682988073,34,-21.13491603937464,1.6123829335392925
CVE.TO,22.152560083594558,9,-4.994797086368371,2.3675788115677108
FM.TO,-28.13812412505833,0,0,2.9850021764396457
HOD.TO,-9.661835748792265,274,-25.69721115537849,-2.4899570830584796
BCE.TO,8.195194635872612,336,-5.619436201780418,0.39408176068369716
CRON.TO,257.8881987577639,0,0.0,-0.7612860810702
ENB.TO,20.440485028458315,0,0.0,1.332199222748657
FIRE.TO,-8.920187793427228,0,0.0,2.412515193434147
CCO.TO,37.627986348122846,0,0.0,1.4383818699267927
PD.TO,-22.146118721461182,112,-39.439655172413794,2.211520862382209
RCI.B.TO,28.30354013319311,0,0.0,0.4626497776725638
BMO.TO,3.0692139054180996,218,-2.4373328049143046,0.7622241641302617
WCP.TO,-38.99613899613899,195,-44.06779661016949,2.0466694035090436
BAM.A.TO,15.840602696272803,0,0.0,1.1326051886962902
H.IR.TO,4.231974921630099,0,0,-0.28257309459048485
IMG.TO,-30.903790087463555,130,-40.20100502512563,0.27144579535500707
AC.TO,22.87727104189841,295,-33.88529886914377,1.326872680878313
TRP.TO,6.165250406798041,0,0,0.9700324780058908
ATH.TO,-14.414414414414425,287,-41.509433962264154,2.688255502560892
T.TO,5.906040268456376,167,-12.649132703616562,0.43306729162014657
SLF.TO,-4.825737265415542,173,-13.081042077167726,1.064872871710112
HSE.TO,-5.861456483126111,352,-15.64655591178469,1.6647607026390796
CM.TO,0.7585112012700648,331,-14.442193517155328,0.7167311336961845
NMX.TO,-76.82119205298014,0,0.0,1.594463755406521
HBM.TO,-15.657036346691516,0,0,2.506488243991565
SGY.TO,-27.894736842105257,254,-50.0,1.8637354582968733
NA.TO,1.7064846416382204,107,-11.49732620320855,0.7156365371101077
TRST.TO,37.663755458515276,0,0.0,-0.6443851578482369
HND.TO,-57.14285714285714,3,-1.7379679144385132,-0.8237695121946044
NTR.TO,15.669099756691004,127,-26.590661295618382,1.558741211239149
ECN.TO,18.452380952380956,0,0,0.6157823705247875
EFN.TO,59.227467811158796,111,-34.57330415754923,1.055034185742521
IMO.TO,4.438642297650134,63,-15.269636576787812,1.2923188374526564
MG.TO,0.8453085376162218,187,-22.01416396591046,1.543315634788537
NGD.TO,-65.47619047619048,0,0,0.17593998899092825
ATD.B.TO,18.797601685302222,223,-18.470992228447493,0.8015558797289329
DOL.TO,-27.839335180055404,0,0,0.9419382625738422
